# BetterQuesting Item Export
# Format: modid:item_name
# Use these IDs in DSL quest files

3DManeuverGear:3DManeuverGear                      # 3D Maneuver Gear
3DManeuverGear:3DManeuverHandle                    # 3D Maneuver Gear Hand Grips
3DManeuverGear:itemComponent                       # Sword Blade
3DManeuverGear:itemFallBoots                       # Shock Absorbing Boots
3DManeuverGear:itemRecord                          # Music Disc
AWWayofTime:AlchemicalWizardrybloodRune            # Blood Rune
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect # Crucible of Fire
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement # Unstable Spell Empowerer
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier # Default Spell Modifier
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm # Particle Generator
AWWayofTime:Altar                                  # Blood Altar
AWWayofTime:activationCrystal                      # Weak Activation Crystal
AWWayofTime:aether                                 # Aether
AWWayofTime:airScribeTool                          # Elemental Inscription Tool: Air
AWWayofTime:airSigil                               # Air Sigil
AWWayofTime:alchemyFlask                           # Potion Flask
AWWayofTime:apprenticeBloodOrb                     # Apprentice Blood Orb
AWWayofTime:aquasalus                              # Aquasalus
AWWayofTime:archmageBloodOrb                       # Archmage Blood Orb
AWWayofTime:armourForge                            # Soul Armor Forge
AWWayofTime:armourInhibitor                        # Armor Inhibitor
AWWayofTime:averageLengtheningCatalyst             # Average Lengthening Catalyst
AWWayofTime:averagePowerCatalyst                   # Average Power Catalyst
AWWayofTime:blankSlate                             # Blank Slate
AWWayofTime:blankSpell                             # Unbound Crystal
AWWayofTime:blockAlchemicCalcinator                # Alchemic Calcinator
AWWayofTime:blockConduit                           # Spell Conduit
AWWayofTime:blockCrucible                          # Incense Crucible
AWWayofTime:blockCrystal                           # Crystal Cluster
AWWayofTime:blockCrystalBelljar                    # Crystal Belljar
AWWayofTime:blockDemonChest                        # Demon's Chest
AWWayofTime:blockEnchantmentGlyph                  # Glyph of the Adept Enchanter
AWWayofTime:blockHomHeart                          # Spell Table
AWWayofTime:blockMimic                             # Mimic Block
AWWayofTime:blockPedestal                          # Arcane Pedestal
AWWayofTime:blockPlinth                            # Arcane Plinth
AWWayofTime:blockReagentConduit                    # Alchemy Relay
AWWayofTime:blockSchemSaver                        # Schematic Saver
AWWayofTime:blockStabilityGlyph                    # Glyph of Rigid Stability
AWWayofTime:blockTeleposer                         # Teleposer
AWWayofTime:blockWritingTable                      # Alchemic Chemistry Set
AWWayofTime:bloodLight                             # Blood Light
AWWayofTime:bloodMagicBaseAlchemyItems             # Offensa
AWWayofTime:bloodMagicBaseItems                    # Quartz Rod
AWWayofTime:bloodMagicIncenseItem                  # Wood Ash
AWWayofTime:bloodSocket                            # Filled Socket
AWWayofTime:bloodStoneBrick                        # Bloodstone Brick
AWWayofTime:boundAxe                               # Bound Axe
AWWayofTime:boundBoots                             # Bound Boots
AWWayofTime:boundBootsEarth                        # Earth Omega Boots
AWWayofTime:boundBootsFire                         # Fire Omega Boots
AWWayofTime:boundBootsWater                        # Water Omega Boots
AWWayofTime:boundBootsWind                         # Wind Omega Boots
AWWayofTime:boundHelmet                            # Bound Helmet
AWWayofTime:boundHelmetEarth                       # Earth Omega Helmet
AWWayofTime:boundHelmetFire                        # Fire Omega Helmet
AWWayofTime:boundHelmetWater                       # Water Omega Helmet
AWWayofTime:boundHelmetWind                        # Wind Omega Helmet
AWWayofTime:boundLeggings                          # Bound Leggings
AWWayofTime:boundLeggingsEarth                     # Earth Omega Leggings
AWWayofTime:boundLeggingsFire                      # Fire Omega Leggings
AWWayofTime:boundLeggingsWater                     # Water Omega Leggings
AWWayofTime:boundLeggingsWind                      # Wind Omega Leggings
AWWayofTime:boundPickaxe                           # Bound Pickaxe
AWWayofTime:boundPlate                             # Bound Plate
AWWayofTime:boundPlateEarth                        # Earth Omega Plate
AWWayofTime:boundPlateFire                         # Fire Omega Plate
AWWayofTime:boundPlateWater                        # Water Omega Plate
AWWayofTime:boundPlateWind                         # Wind Omega Plate
AWWayofTime:boundShovel                            # Bound Shovel
AWWayofTime:bucketLife                             # Bucket of Life
AWWayofTime:creativeDagger                         # Creative Sacrificial Knife
AWWayofTime:creativeFiller                         # Orb of Testing
AWWayofTime:crepitous                              # Crepitous
AWWayofTime:crystallos                             # Crystallos
AWWayofTime:customTool                             # Dynamic Mace
AWWayofTime:daggerOfSacrifice                      # Dagger of Sacrifice
AWWayofTime:dawnScribeTool                         # Elemental Inscription Tool: Dawn
AWWayofTime:demonBloodShard                        # Demon Blood Shard
AWWayofTime:demonPlacer                            # Demon Crystal
AWWayofTime:demonPortalMain                        # Demon Portal
AWWayofTime:demonicSlate                           # Demonic Slate
AWWayofTime:demonicTelepositionFocus               # Demonic Teleposition Focus
AWWayofTime:divinationSigil                        # Divination Sigil
AWWayofTime:duskScribeTool                         # Elemental Inscription Tool: Dusk
